What is your full name,What are your salutations?,Current Position and Company,"Please provide an introduction write-up of yourself.
They will be published on IdeasJam's social media and website.Please write it in less then 150 words.",Theme:,,,,,,
Yeo Sock Koon,Ms,ex-CFO,"A finance professional with more than 30 years of experience in SGX-listed companies across diverse industries, with a track record in strategic leadership and hands-on achievements including setting up a shared service centre in Shanghai and leading a post integration project which unlocked more than $3.6 million for the company.",Finance/Energy,,,,,,
Jason Lee Ho Fan,Mr,Founder & CEO Scent by SIX,"Hello. I’m Jason, founder of Scent by SIX, entrepreneur, and now a law student. My journey began with a passion for creating fragrances that evoke emotion, which led to unforgettable collaborations with brands like Singapore Airlines and Eu Yan Sang. In 2022, I was honoured to receive the Entrepreneur of the Year Award, a recognition that felt like a moment to pause and reflect on the people and experiences that have shaped me.

As fulfilling as my business journey has been, there was always one ambition left unfulfilled: the law. After my A Levels took me down a different path, I channelled my energy into building a business, yet the pull of law never left me. Today, I am pursuing a Juris Doctor (J.D.) Programme at SMU, combining my entrepreneurial mindset with my passion for legal advocacy.

I believe in the law’s potential to create change, particularly in emerging areas like AI. My goal? To contribute to shaping Singapore’s legal landscape and use empathy and legal knowledge to help those who need it most.

Beyond business and law, I find joy in mentoring future business leaders at the NTU Entrepreneurship Academy and actively contributing to the community through grassroots initiatives in Bukit Batok. My work with SAFRA and my role in the Council of the Singapore Retailers Association further fuel my dedication to community growth and development.

Family remains my greatest source of inspiration—my wife, Vera, and our four children remind me daily of the importance of balance and perspective.

I’m always eager to connect for collaborations, mentorship, or enriching conversations. Let’s see how we can make an impact together.",Education/Healthcare/Energy,,,,,,
Nicola Scarpelli,Mr,"Key Account Manager, Schneider Electric","I'm a nuclear engineer by background, a sustainability activist by passion, and a business catalyst by profession. I work hard everyday to make an impact - on businesses, industries, and the communities I live in.
I aspire to be someone who truly helps create a more sustainable economy.",Energy,,,,,,
Yim Cheng SIEW,Mdm,"SVP Digital, Yara Africa & Asia","Yim Cheng Siew is a seasoned technology leader with deep expertise in driving digital transformation, and creating business value across diverse industries and regions. Currently the SVP Digital at Yara Africa Asia, she previously served as Chief Digital Officer at ComfortDelGro Group and JTC Corporation, held senior roles leading enterprise sales and marketing at Microsoft Singapore and Asia Pacific Greater China & Japan. She also has hands-on experience in a Chinese green tech startup.
Beyond her corporate leadership, she contributes actively to the community through her board role at the Singapore Business Advisors and Consultants Council (SBACC) and her support for institutions including the Singapore Art Museum, National Gallery, SUSS, and the Chartered Management Institute.
Passionate about people development and career growth, she is dedicated to enabling individuals to succeed and leveraging technology as a catalyst for business value creation and organizational growth.
",Healthcare/Education,,,,,,
Ee Ling Lim,Ms,"CEO, Wavesparks","Ee Ling is the CEO of Wavesparks, an entrepreneurship platform that designs hands-on accelerator programs, innovation training, and mentorship for youth founders across Asia. She works closely with Gen Z and youth leaders to build not just startups, but clarity, confidence, and real-world skills for an uncertain future.

Previously, Ee Ling led global programs at 500 Global, a Silicon Valley-based VC firm, where she designed and ran 70+ startup and innovation programs across North America, East Asia, Middle East and Southeast Asia - partnering with governments, universities, and corporates to grow emerging startup ecosystems.

Before entrepreneurship and education, Ee Ling spent nearly a decade as an investment banker at Bank of America Merrill Lynch, working on large-scale M&A and capital markets deals.

Today, she serves on Singapore’s National Youth Fund and raiSE (Singapore Centre for Social Enterprise), and is a mentor, speaker, and advocate for youth entrepreneurship, founder resilience, and building for the long game.",Education/Healthcare/Finance,,,,,,
Richard Khew,Mr,"Chief Operating Officer, Parkway Laboratories","As Chief Operating Officer of Parkway Laboratories, I lead our operations with a focus on people, performance, and purpose. With a strong background in clinical laboratory management, I’m passionate about building efficient, technology?driven systems that enhance collaboration, accuracy, and service excellence. My role centers on aligning operational strategies with innovation and quality, ensuring that every process supports our commitment to patient care. I believe technology is most effective when paired with empowered people — creating a culture where teams are encouraged to learn, adapt, and innovate. By combining strategic leadership with a hands?on approach, I strive to ensure Parkway Laboratories remains at the forefront of modern diagnostics, delivering reliable outcomes and meaningful impact to the communities we serve.",Healthcare/Education,,,,,,
Elizabeth Han,Ms,"Group Head
Innovation and Transformation,
IHH Healthcare Singapore","Elizabeth Han is the Group Head of Innovation and Transformation at IHH Healthcare. She sets the company’s innovation agenda and leads the Group’s corporate venture capital arm, strategic partnerships, and internal innovation programmes. She is also driving IHH’s multiyear journey to strengthen and accelerate its growth trajectory under Transformation. 

With over 15 of experience in healthcare strategy, consulting, and investing from early-stage ventures to growth equity, Elizabeth brings deep expertise at the intersection of innovation and impact. 

Before joining IHH, Elizabeth was an investor at a US healthcare VC firm, where she backed digital health and healthcare services companies such as telehealth, primary care, and behavioural health. Passionate about tackling challenges in access to and quality of care, she has advised start-ups in the US and Asia. 

Elizabeth holds an MBA from the University of Chicago Booth School of Business and a Bachelor of Arts in Business Economics from UCLA. 
",Healthcare,,,,,,
Jerrick Tee,Mr,"Manager, NTU","With my previous experiences in founding nonprofit and renewable energy startup, I'm glad to speak with you from anything across ideation, product-market fit, go-to-market to business model innovations. I sincerely believe that there's no ideas too tiny and no amount of funds too huge to ask for. Just come by for a brief chat and let's bounce off ideas on how we can get you started. ",Energy/Education,,,,,,
Roy Wee,Mr,"AVP
Digital Products and Services,
IHH Healthcare Singapore","Roy is a digital pioneer and has since become a seasoned expert in digital transformation across diverse industries including education, hospitality, eCommerce and healthcare. His proficiency in implementing robust digital platforms has garnered industry recognition, including accolades such as Best eCommerce Platform and the Health App of the Year award in 2023. Roy is also an ACLP certified trainer and runs digital training courses whenever time permits. He is deeply committed to future-proofing organizations through comprehensive digital strategies that drive innovation and operational efficiency.",Healthcare,,,,,,
Aditya Kumar,Mr,"Director, Schneider Electric","Aditya Kumar brings nearly three decades of regional leadership experience across the energy, infrastructure, and digital power sectors, having delivered complex electrical, automation, and construction program portfolios in data centers, oil & gas, power generation, transmission and distribution networks, manufacturing facilities, airports, hospitals, hotels, and commercial buildings. 
A seasoned transformation and operations leader, Aditya has built deep expertise in portfolio and program management, systems quality, engineering management, contract governance —while consistently coaching, elevating, and inspiring diverse, multicultural teams across Asia.
At Schneider Electric, he plays a pivotal role in driving strategy, governance, and delivery for Power Systems, with a sharp focus on growth, profitability, and customer satisfaction. He also leads multi-segment and cross-regional business development initiatives in the region.
Passionate about sustainability, people development, and enabling future?ready business operations, Aditya blends strategic foresight with hands?on execution—making him a compelling voice at the intersection of energy transition, digital transformation, and talent growth.",Energy,,,,,,
Vineet Agarwal,Mr,"CEO, Validus Capital","Vineet Agarwal serves as the CEO of Validus Capital, overseeing the strategic expansion of the SME Lending portfolio in Singapore. With a focus on fostering sustainable growth, he collaborates closely with local businesses to tailor financing solutions that align with their growth aspirations. 

Prior to his role at Validus, Vineet played an integral role in driving the Data & AI initiatives for the Consumer Banking division at DBS Bank. His extensive experience also includes a decade at American Express, where he held various positions in the payments sector",Finance,,,,,,
Pranav Krishna,Mr,"Founder, ShareRight ","Pranav is a Singapore-based entrepreneur and sustainability advocate who builds ventures at the intersection of social impact and innovation. As founder of ShareRight, he's creating an ""Airbnb for businesses"" that helps SMEs and social enterprises turn idle spaces into shared value through transparent pricing and the circular economy. He also serves as Business Development Lead for EcoCupid, a nonprofit environmental media platform that amplifies the voices of eco-projects across Southeast Asia through multilingual storytelling.",Energy,,,,,,
Lionel Chok,Mr,"Managing Consultant, iMMERSiVELY","A specialist in Extended Reality and Spatial Computing, Lionel got invited to mentor and advise founders when his own Immersive Tech startup was acquired during Covid-19 to embark on the Web3 journey. 
Today, he gives back by mentoring and advising innovators and startups, to empower the next generation of entrepreneurs and technologists in their creative and business ventures.",Education,,,,,,
Roland Liew,Mr,"Head of Digital Transformation,
IHH Healthcare Singapore","Meet a digital transformation leader who bridges the gap between complex tech and real-world impact. With over 15 years of experience—spanning B2C and Healthcare—he specializes in turning tech related strategies into tangible results.

An engineer by training with an MBA’s eye for growth, he’s known for pragmatic execution and navigating high-stakes environments alongside private and public agencies. Beyond the boardrooms and governance frameworks, he is deeply passionate about how emerging tech like Voice and Chat can simplify and improve everyday life.
",Healthcare,,,,,,
Kwok Quek Sin,Mr,"Group Chief 
Business Technology Officer,
IHH Healthcare Singapore","Quek Sin (QS) is the Group Chief Business Technology Officer at IHH Healthcare, one of the world’s largest healthcare providers. He leads IHH’s enterprise-wide AI and data initiatives, driving the adoption of scalable platforms and intelligent solutions across multiple markets to enhance clinical outcomes, operational efficiency, and patient experience.

Prior to IHH, QS held senior leadership roles across the public sector, healthcare, and consulting. At GovTech Singapore, he oversaw national digital platforms including Singpass, MyInfo, CorpPass, and SGFinDex. At the Monetary Authority of Singapore, he led innovation initiatives such as Project Greenprint, advancing sustainability-focused digital ecosystems. He also served as Chief Digital Officer at Raffles Medical Group and Managing Director at Accenture.",Healthcare,,,,,,
Vivian Tay,Ms,"COO, Braindge Singapore Pte Ltd","Always interesting to be involved in the digital transformation journey after 40 years. Life is meaningful when you can contribute or suggest new ways of solving challenges.

Vivian Tay, recognized in the SG100 Women in Tech 2023, is a prominent Executive Advisor and Business Strategist. In 2024, she became COO of Braindge Singapore, shaping innovative business strategies. With vast experience advising executives and driving digital advancements, Vivian has fostered transformative growth.

She is honoured to be given opportunities to serve and contribute back to society, sharing her experience with younger generations.",Education/Finance/Healthcare,,,,,,
